"title"	"date"	"document_doc"	"document_pdf"	"text"	"document_reference"	"agency"	"month"	"quarter"	"year"
"Harmful effects of wireless local area networks (WLANs) on human beings"	2007-11-13	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/5563/P6_QE(2007)5563_EN.doc"	NA	"Extract: European Environment Agency (EEA) has concerns about the harm to public health caused by exposure to electromagnetic fields, which it compares with the dangers of the discovery of asbestos, nicotine and leaded petrol. In this context it has examined over 2"	"
								 
							      
							      
							         P6_QE(2007)5563
							      
							    
							"	"EEA"	2007-11-01	2007-10-01	2007-01-01
"Carbon capture and storage (CCS) and the EU Emissions Trading Scheme (ETS)"	2007-06-28	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/3321/P6_QE(2007)3321_EN.doc"	NA	"Extract: noted  'that some commercial CCS projects may become operational before 2012, including projects in Member States and in Norway, which will be linked to the ETS through the Agreement on the European Economic Area (EEA Agreement) from 1 January 2008'. In"	"
								 
							      
							      
							         P6_QE(2007)3321
							      
							    
							"	"EEA"	2007-06-01	2007-04-01	2007-01-01
"Cross-border healthcare and competence of healthcare professionals"	2007-04-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/1871/P6_QE(2007)1871_EN.doc"	NA	"Extract: proactively to inform other competent authorities in the EU/EEA of this?<U+FFFD> OJ L 255, 30.9.2005, p. 22.660680.ENPE 387.842"	"
								 
							      
							      
							         P6_QE(2007)1871
							      
							    
							"	"EEA"	2007-04-01	2007-04-01	2007-01-01
"Habitual Residence Condition in Ireland"	2007-04-10	"http://www.europarl.europa.eu/RegData/questions/ecrites/2007/1847/P6_QE(2007)1847_EN.doc"	NA	"Extract: Condition by the Irish authorities was compatible with the relevant Community provisions (e.g. Regulation (EEC) No 1408/71<U+FFFD>).Groups working with immigrants in Ireland such as Emigrant Advice and the Homeless Agency now point out that EEA workers are being"	"
								 
							      
							      
							         P6_QE(2007)1847
							      
							    
							"	"EEA"	2007-04-01	2007-04-01	2007-01-01
"A bureaucratic maze with contradictory information as a means of discouraging citizens of eight new EU Member States from temporarily living and working in the Netherlands"	2007-01-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/5717/P6_QE(2006)5717_EN.doc"	NA	"Extract:, but that since then the IND has given interested parties information material which causes confusion because it states on the one hand that nationals of an EU or EEA State or Switzerland who wish to reside in the Netherlands for longer than three"	"
								 
							      
							      
							         P6_QE(2006)5717
							      
							    
							"	"EEA"	2007-01-01	2007-01-01	2007-01-01
"New regulations and airport revenues"	2006-12-01	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/5218/P6_QE(2006)5218_EN.doc"	NA	"Extract:WRITTEN QUESTION E-5218/06by Philip Bradbourn (PPE-DE)to the CommissionSubject:New regulations and airport revenuesThe new EU aviation security regulations, in restricting the sale of duty-free liquid items to EU and EEA-bound transfer"	"
								 
							      
							      
							         P6_QE(2006)5218
							      
							    
							"	"EEA"	2006-12-01	2006-10-01	2006-01-01
"Competitive neutrality in the building materials sector"	2006-09-29	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/4050/P6_QE(2006)4050_EN.doc"	NA	"Extract: competitive options available.Norway also has a wood programme broadly similar to the Swedish wood strategy. The Norwegian programme is to be examined by the EFTA Surveillance Authority (ESA) to establish whether it complies with the EEA Agreement. A"	"
								 
							      
							      
							         P6_QE(2006)4050
							      
							    
							"	"EEA"	2006-09-01	2006-07-01	2006-01-01
"The role of UEFA and national football associations"	2006-07-26	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/3501/P6_QE(2006)3501_EN.doc"	NA	"Extract: Article 81 of the EC Treaty and Article 53 of the EEA Agreement (joint selling of the commercial rights of the UEFA Champions League), national football associations are associations of undertakings. They are also undertakings in so far as they carry out"	"
								 
							      
							      
							         P6_QE(2006)3501
							      
							    
							"	"EEA"	2006-07-01	2006-07-01	2006-01-01
"Asbestos"	2006-06-21	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/2773/P6_QE(2006)2773_EN.doc"	NA	"Extract: 27 March 2003 amending Council Directive 83/477/EEC on the protection of workers from the risks related to exposure to asbestos at work (text with EEA relevance)?<U+FFFD> OJ L 97, 15.4.2003, p. 48.619083.ENPE 375.746"	"
								 
							      
							      
							         P6_QE(2006)2773
							      
							    
							"	"EEA"	2006-06-01	2006-04-01	2006-01-01
"Tighter requirements for foreign ski instructors in France"	2006-03-15	"http://www.europarl.europa.eu/RegData/questions/ecrites/2006/1022/P6_QE(2006)1022_EN.doc"	NA	"Extract: Commission consider that these regulations comply with Article 4 of the EEA Treaty?If not, what measures will it be taking to ensure that the French regulations allow foreign ski instructors to give tuition in the same conditions as the French?605052.EN"	"
								 
							      
							      
							         P6_QE(2006)1022
							      
							    
							"	"EEA"	2006-03-01	2006-01-01	2006-01-01
"Air quality monitoring in Malta"	2005-10-14	"http://www.europarl.europa.eu/RegData/questions/ecrites/2005/3695/P6_QE(2005)3695_EN.doc"	NA	"Extract: allocated by the EU for a background air quality monitoring station are used to complement the present infrastructure and fulfil both UN and EEA reporting requirements without undue duplication of effort? 583060.ENPE 364.009"	"
								 
							      
							      
							         P6_QE(2005)3695
							      
							    
							"	"EEA"	2005-10-01	2005-10-01	2005-01-01
"The Smyril Line"	2005-09-29	"http://www.europarl.europa.eu/RegData/questions/ecrites/2005/3430/P6_QE(2005)3430_EN.doc"	NA	"Extract: could attract financing from the EU given that three of the five destinations served are not in the EU but are in the European Economic Area (EEA), and if so what these sources of funding would be?580989.ENPE 363.464"	"
								 
							      
							      
							         P6_QE(2005)3430
							      
							    
							"	"EEA"	2005-09-01	2005-07-01	2005-01-01
"Inflation"	2005-09-19	"http://www.europarl.europa.eu/RegData/questions/ecrites/2005/3261/P6_QE(2005)3261_EN.doc"	NA	"Extract: inflation in other EU 15 and EEA Member States over the same period?2.What was the level of inflation in the USA over the same period?3.What levels of inflation were experienced in the EU and EEA Member States over a similar period prior to the 1999"	"
								 
							      
							      
							         P6_QE(2005)3261
							      
							    
							"	"EEA"	2005-09-01	2005-07-01	2005-01-01
"Environmental standards in Norway"	2005-01-06	"http://www.europarl.europa.eu/RegData/questions/ecrites/2004/3566/P6_QE(2004)3566_EN.doc"	NA	"Extract:WRITTEN QUESTION E-3566/04by Jonas Sjöstedt (GUE/NGL)to the CommissionSubject:Environmental standards in NorwayThe EEA Agreement gives Norwegian undertakings access to the EU's internal market, while Norway undertakes to implement"	"
								 
							      
							      
							         P6_QE(2004)3566
							      
							    
							"	"EEA"	2005-01-01	2005-01-01	2005-01-01
"The de-institutionalisation of disabled people"	2005-01-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2004/3507/P6_QE(2004)3507_EN.doc"	NA	"Extract: Community Living' as a European monitoring and action centre for the provision of community-based services. The results of this project are now available in all EU/EEA and EFTA languages.How does the Commission plan to follow up the recommendations of"	"
								 
							      
							      
							         P6_QE(2004)3507
							      
							    
							"	"EEA"	2005-01-01	2005-01-01	2005-01-01
"Vessel lists pursuant to Regulation (EC) 2347/2002"	2004-11-25	"http://www.europarl.europa.eu/RegData/questions/ecrites/2004/2978/P6_QE(2004)2978_EN.doc"	NA	"Extract: vessels not registered in Portugal.In a recent decision, the Council temporarily suspended the liberalisation of demersal trawling for most of the Portuguese EEA in the Azores, while maintaining that of fixed gillnets.Is the Commission aware that"	"
								 
							      
							      
							         P6_QE(2004)2978
							      
							    
							"	"EEA"	2004-11-01	2004-10-01	2004-01-01
"The non-discrimination clause and the Azores fishery"	2004-11-25	"http://www.europarl.europa.eu/RegData/questions/ecrites/2004/2976/P6_QE(2004)2976_EN.doc"	NA	"Extract: November 2003 - the EU institutions liberalised (up to 2006 and beyond the 100 miles of the EEA) access to Azorean waters, going so far as to justify this liberalisation as a means of ending discrimination against non-Azorean vessels.Meanwhile, the"	"
								 
							      
							      
							         P6_QE(2004)2976
							      
							    
							"	"EEA"	2004-11-01	2004-10-01	2004-01-01
"Real estate tax in Hungary"	2004-05-03	"http://www.europarl.europa.eu/RegData/questions/ecrites/2004/1327/P5_QE(2004)1327_EN.doc"	NA	"Extract: accession.Nationals of Member States and contracting parties of the EEA Agreement who have been legally resident in Hungary for an uninterrupted period of at least four years may not be subject to the above provisions, nor to any rules and procedures other"	"
								 
							      
							      
							         P5_QE(2004)1327
							      
							    
							"	"EEA"	2004-05-01	2004-04-01	2004-01-01
"Clarification on the scope of the Recreational Craft Directive"	2004-02-26	"http://www.europarl.europa.eu/RegData/questions/ecrites/2004/0565/P5_QE(2004)0565_EN.doc"	NA	"Extract: Article 4(5) (viii) Summary of the application of the Directive after 16 June 1998 –  to 'Boats already in the EEA which are transformed into recreational craft when they were previously used for another purpose. e.g. experimental craft, racing boats"	"
								 
							      
							      
							         P5_QE(2004)0565
							      
							    
							"	"EEA"	2004-02-01	2004-01-01	2004-01-01
"Unavailability for commercial reasons of information on insufficient airline safety standards"	2004-01-20	"http://www.europarl.europa.eu/RegData/questions/ecrites/2004/0035/P5_QE(2004)0035_EN.doc"	NA	"Extract: aircraft?How is such information on airline safety standards that is gathered by Member States’ institutions exchanged and made public within the EU and the EEA?What can individual Member States or the EU do on the basis of such information to prevent"	"
								 
							      
							      
							         P5_QE(2004)0035
							      
							    
							"	"EEA"	2004-01-01	2004-01-01	2004-01-01
